problem,x,y,x-extra,ff-inst,ff-search,ff-preprocess,ff-total,ff-system,metricFF-inst,metricFF-search,metricFF-preprocess,metricFF-total,metricFF-system,ffha-inst,ffha-search,ffha-preprocess,ffha-total,ffha-system,ffsa-inst,ffsa-search,ffsa-preprocess,ffsa-total,ffsa-system,sgplan522-parsing,sgplan522-total,sgplan522-system,sgplan6-parsing,sgplan6-total,sgplan6-system,ipp-inst,ipp-search,ipp-preprocess,ipp-total,ipp-system,lama-search,lama-preprocess,lama-total,lama-system,c3-system
minimal,0,20,,0.00,0.00,0,0.00,0.006,0.00,0.00,0,0.00,0.007,0.00,0.00,0,0.00,0.010,0.00,0.00,0,0.00,0.011,0.00,0.00,0.013,0.02,0.02,0.046,,,,,,0,0,0,0.107,0.065
minimal,1,20,,0.00,0.00,0,0.00,0.006,0.00,0.00,0,0.00,0.007,0.00,0.00,0,0.00,0.010,0.00,0.00,0,0.00,0.011,0.00,0.00,0.013,0.02,0.02,0.046,,,,,,0,0,0,0.107,0.065
minimal,2,20,,0.00,0.00,0,0.00,0.009,0.00,0.00,0,0.00,0.012,0.00,0.00,0,0.00,0.018,0.00,0.00,0,0.00,0.018,0.00,0.00,0.018,0.02,0.02,0.049,0.00,0.00,0.01,0.01,0.044,0,0,0,0.154,0.160
minimal,3,20,,0.00,0.00,0,0.00,0.014,0.00,0.00,0,0.00,0.022,0.00,0.02,0,0.02,0.038,0.00,0.02,0,0.02,0.038,0.00,0.01,0.028,0.02,0.03,0.061,0.00,0.00,0.06,0.06,0.089,0.03,0,0.03,0.193,0.144
minimal,4,20,,0.00,0.01,0,0.01,0.023,0.00,0.02,0.01,0.03,0.047,0.00,0.04,0.01,0.05,0.064,0.00,0.04,0.01,0.05,0.063,0.00,0.02,0.037,0.03,0.05,0.115,0.01,0.01,0.14,0.15,0.214,0.05,0.01,0.06,0.276,0.266
minimal,5,20,,0.00,0.02,0,0.02,0.038,0.00,0.05,0.02,0.07,0.090,0.00,0.08,0.02,0.10,0.120,0.00,0.08,0.02,0.10,0.119,0.00,0.06,0.086,0.03,0.09,0.114,0.03,0.01,0.31,0.32,0.519,0.14,0.02,0.16,0.405,0.635
minimal,6,20,,0.01,0.04,0.01,0.05,0.060,0.00,0.10,0.04,0.14,0.161,0.00,0.14,0.04,0.18,0.198,0.01,0.14,0.04,0.18,0.195,0.00,0.08,0.110,0.03,0.11,0.205,0.05,0.01,0.57,0.58,0.692,0.22,0.03,0.25,0.624,0.782
minimal,7,20,,0.01,0.06,0.01,0.07,0.087,0.01,0.18,0.06,0.24,0.259,0.01,0.22,0.07,0.29,0.314,0.01,0.22,0.07,0.29,0.314,0.00,0.21,0.235,0.03,0.21,0.347,0.08,0.04,0.97,1.01,1.065,0.36,0.04,0.4,0.726,7.624
minimal,8,20,,0.01,0.10,0.01,0.11,0.129,0.01,0.29,0.09,0.38,0.399,0.01,0.35,0.1,0.45,0.473,0.01,0.36,0.09,0.45,0.474,0.00,0.25,0.288,0.03,0.26,0.348,0.12,0.08,1.54,1.62,1.666,0.52,0.0599999999999999,0.58,1.226,8.972
minimal,9,20,,0.02,0.13,0.02,0.15,0.170,0.02,0.42,0.13,0.55,0.577,0.02,0.54,0.13,0.67,0.698,0.02,0.54,0.13,0.67,0.701,0.01,0.49,0.519,0.03,0.47,0.500,0.17,0.14,2.27,2.41,2.520,0.74,0.09,0.83,1.275,
minimal,10,20,,0.03,0.18,0.03,0.21,0.228,0.03,0.61,0.18,0.79,0.934,0.04,0.77,0.18,0.95,1.085,0.03,0.77,0.18,0.95,1.054,0.01,0.59,1.987,0.03,0.55,1.955,0.23,0.30,3.32,3.62,3.673,0.96,0.11,1.07,1.444,
