problem,x,y,x-extra,ff-inst,ff-search,ff-preprocess,ff-total,ff-system,metricFF-inst,metricFF-search,metricFF-preprocess,metricFF-total,metricFF-system,ffha-inst,ffha-search,ffha-preprocess,ffha-total,ffha-system,ffsa-inst,ffsa-search,ffsa-preprocess,ffsa-total,ffsa-system,sgplan522-parsing,sgplan522-total,sgplan522-system,sgplan6-parsing,sgplan6-total,sgplan6-system,ipp-inst,ipp-search,ipp-preprocess,ipp-total,ipp-system,lama-search,lama-preprocess,lama-total,lama-system,c3-system
extra,20,20,1,0.31,1.28,0.33,1.61,1.682,0.32,6.40,1.57,7.97,8.086,0.32,9.27,1.57,10.84,10.978,0.32,9.26,1.57,10.83,10.983,0.05,7.04,7.081,0.07,6.11,6.250,1.85,,,,22.642,8.37,0.82,9.19,10.166,
extra,20,20,2,0.37,1.28,0.38,1.66,1.707,0.36,6.68,1.78,8.46,8.596,0.36,9.34,1.79,11.13,11.280,0.36,9.36,1.79,11.15,11.311,0.05,7.33,7.373,0.07,6.35,6.425,,,,,,8.4,0.879999999999999,9.28,10.086,
extra,20,20,3,0.41,1.36,0.43,1.79,1.827,0.41,6.97,2.01,8.98,9.128,0.41,9.35,2.03,11.38,11.544,0.41,9.34,2.02,11.36,11.529,0.06,7.67,7.706,0.08,6.52,6.643,,,,,,8.46,0.93,9.39,10.270,
extra,20,20,4,0.46,1.40,0.48,1.88,1.925,0.46,7.17,2.24,9.41,9.584,,,,,,,,,,,0.06,7.93,7.964,0.08,6.73,6.792,,,,,,8.48,0.98,9.46,10.353,
extra,20,20,5,0.52,1.45,0.54,1.99,2.033,0.52,7.46,2.46,9.92,10.096,,,,,,,,,,,0.07,8.19,8.230,0.08,7.06,7.148,,,,,,8.58,1.03,9.61,10.510,
extra,20,20,6,0.58,1.48,0.61,2.09,2.137,,,,,,,,,,,,,,,,0.07,8.44,8.485,0.09,7.20,7.353,,,,,,8.66,1.07,9.73,10.678,
extra,20,20,7,0.64,1.54,0.67,2.21,2.302,,,,,,,,,,,,,,,,0.08,8.71,8.757,0.09,7.59,7.700,,,,,,8.7,1.12,9.82,10.732,
extra,20,20,8,0.72,1.61,0.74,2.35,2.401,,,,,,,,,,,,,,,,0.09,8.98,9.023,0.09,7.82,7.881,,,,,,8.77,1.16,9.93,10.912,
extra,20,20,9,0.79,1.62,0.83,2.45,2.505,,,,,,,,,,,,,,,,0.09,9.20,9.247,0.09,7.92,8.092,,,,,,8.84,1.22,10.06,11.064,
extra,20,20,10,0.87,1.68,0.9,2.58,2.636,,,,,,,,,,,,,,,,0.10,9.44,9.474,0.10,8.18,8.242,,,,,,8.8,1.26,10.06,11.135,
