problem,x,y,x-extra,ff-inst,ff-search,ff-preprocess,ff-total,ff-system,metricFF-inst,metricFF-search,metricFF-preprocess,metricFF-total,metricFF-system,ffha-inst,ffha-search,ffha-preprocess,ffha-total,ffha-system,ffsa-inst,ffsa-search,ffsa-preprocess,ffsa-total,ffsa-system,sgplan522-parsing,sgplan522-total,sgplan522-system,sgplan6-parsing,sgplan6-total,sgplan6-system,ipp-inst,ipp-search,ipp-preprocess,ipp-total,ipp-system,lama-search,lama-preprocess,lama-total,lama-system,c3-system
extra,20,20,1,0.31,3.93,0.339999999999999,4.27,4.304,0.32,12.44,1.56,14.00,14.124,0.31,1.73,1.57,3.30,3.430,0.32,1.71,1.56,3.27,3.407,0.04,0.10,0.119,0.07,0.12,0.145,1.79,96.12,6.63,102.75,102.843,0.03,0.74,0.77,1.448,5.409
extra,20,20,2,0.36,4.10,0.380000000000001,4.48,4.518,0.36,12.90,1.78,14.68,14.814,0.36,1.81,1.78,3.59,3.720,0.36,1.79,1.78,3.57,3.702,0.04,0.10,0.125,0.08,0.13,0.151,,,,,,0.03,0.79,0.82,1.531,5.847
extra,20,20,3,0.41,4.25,0.43,4.68,4.710,0.41,13.20,2.02,15.22,15.375,0.41,1.84,2.03,3.87,4.017,0.41,1.84,2.02,3.86,4.012,0.05,0.11,0.130,0.08,0.13,0.155,,,,,,0.02,0.85,0.87,1.618,6.167
extra,20,20,4,0.46,4.37,0.48,4.85,4.890,0.45,13.61,2.2,15.81,15.979,0.47,1.93,2.23,4.16,4.320,0.46,1.92,2.22,4.14,4.310,0.05,0.12,0.136,0.07,0.14,0.160,,,,,,0.03,0.89,0.92,1.692,7.444
extra,20,20,5,0.51,4.50,0.54,5.04,5.113,0.51,13.93,2.45,16.38,16.576,,,,,,,,,,,0.05,0.11,0.140,0.08,0.14,0.165,,,,,,0.03,0.92,0.95,1.751,
extra,20,20,6,0.58,4.64,0.61,5.25,5.305,,,,,,,,,,,,,,,,0.06,0.13,0.147,0.09,0.15,0.169,,,,,,0.03,0.98,1.01,1.833,
extra,20,20,7,0.64,4.75,0.68,5.43,5.475,,,,,,,,,,,,,,,,0.07,0.13,0.152,0.09,0.15,0.174,,,,,,0.03,1.03,1.06,1.928,
extra,20,20,8,0.72,4.90,0.739999999999999,5.64,5.687,,,,,,,,,,,,,,,,0.07,0.13,0.158,0.09,0.16,0.180,,,,,,0.03,1.07,1.1,1.992,
extra,20,20,9,0.79,4.99,0.819999999999999,5.81,5.866,,,,,,,,,,,,,,,,0.08,0.14,0.167,0.10,0.16,0.183,,,,,,0.03,1.12,1.15,2.062,
extra,20,20,10,0.87,5.09,0.91,6.00,6.065,,,,,,,,,,,,,,,,0.08,0.15,0.168,0.10,0.16,0.189,,,,,,0.03,1.17,1.2,2.139,
extra,20,20,11,0.95,5.22,0.99,6.21,6.305,,,,,,,,,,,,,,,,0.09,0.16,0.175,0.10,0.17,0.194,,,,,,0.03,1.21,1.24,2.205,
extra,20,20,12,1.05,5.27,1.08,6.35,6.440,,,,,,,,,,,,,,,,0.09,0.16,0.180,0.10,0.18,0.199,,,,,,0.03,1.26,1.29,2.280,
extra,20,20,13,1.14,5.38,1.18,6.56,6.633,,,,,,,,,,,,,,,,0.09,0.16,0.186,0.11,0.17,0.203,,,,,,0.04,1.3,1.34,2.361,
extra,20,20,14,1.24,5.46,1.29,6.75,6.835,,,,,,,,,,,,,,,,0.10,0.17,0.193,0.11,0.19,0.209,,,,,,0.04,1.34,1.38,2.427,
extra,20,20,15,1.36,5.52,1.4,6.92,7.006,,,,,,,,,,,,,,,,0.11,0.18,0.199,0.12,0.19,0.214,,,,,,0.03,1.39,1.42,2.503,
extra,20,20,16,1.47,5.65,1.51,7.16,7.250,,,,,,,,,,,,,,,,0.11,0.18,0.205,0.12,0.20,0.220,,,,,,0.03,1.45,1.48,2.623,
extra,20,20,17,1.58,5.70,1.63,7.33,7.458,,,,,,,,,,,,,,,,0.11,0.19,0.211,0.13,0.20,0.225,,,,,,0.03,1.48,1.51,2.674,
extra,20,20,18,1.71,5.76,1.75,7.51,7.621,,,,,,,,,,,,,,,,0.12,0.19,0.218,0.13,0.21,0.231,,,,,,0.04,1.51,1.55,2.753,
extra,20,20,19,1.85,5.82,1.9,7.72,7.849,,,,,,,,,,,,,,,,0.13,0.20,0.227,0.14,0.21,0.237,,,,,,0.03,1.72,1.75,2.978,
extra,20,20,20,1.98,5.87,2.03,7.90,8.014,,,,,,,,,,,,,,,,0.14,0.21,0.231,0.14,0.22,0.243,,,,,,0.03,1.75,1.78,3.031,
extra,20,20,21,2.09,5.94,2.14,8.08,8.229,,,,,,,,,,,,,,,,0.14,0.21,0.237,0.15,0.23,0.249,,,,,,0.04,1.81,1.85,3.122,
extra,20,20,22,2.22,6.01,2.26,8.27,8.451,,,,,,,,,,,,,,,,0.15,0.22,0.246,0.15,0.23,0.254,,,,,,0.03,1.84,1.87,3.264,
extra,20,20,23,2.36,6.03,2.41,8.44,8.613,,,,,,,,,,,,,,,,0.15,0.23,0.252,0.16,0.26,0.280,,,,,,0.03,1.9,1.93,3.286,
extra,20,20,24,,,,,,,,,,,,,,,,,,,,,0.16,0.23,0.260,0.16,0.24,0.267,,,,,,0.04,1.95,1.99,3.375,
extra,20,20,25,,,,,,,,,,,,,,,,,,,,,0.16,0.24,0.267,0.17,0.25,0.272,,,,,,0.04,2.01,2.05,3.459,
extra,20,20,26,,,,,,,,,,,,,,,,,,,,,0.17,0.24,0.274,0.18,0.25,0.280,,,,,,0.04,2.04,2.08,3.503,
extra,20,20,27,,,,,,,,,,,,,,,,,,,,,0.18,0.27,0.282,0.19,0.27,0.288,,,,,,0.04,2.1,2.14,3.595,
extra,20,20,28,,,,,,,,,,,,,,,,,,,,,0.18,0.27,0.290,0.18,0.26,0.293,,,,,,0.04,2.12,2.16,3.680,
extra,20,20,29,,,,,,,,,,,,,,,,,,,,,0.19,0.28,0.297,0.20,0.27,0.300,,,,,,0.03,2.2,2.23,3.774,
extra,20,20,30,,,,,,,,,,,,,,,,,,,,,0.20,0.29,0.305,0.20,0.28,0.306,,,,,,0.04,2.23,2.27,3.832,
extra,20,20,31,,,,,,,,,,,,,,,,,,,,,0.21,0.29,0.313,0.21,0.28,0.315,,,,,,0.03,2.29,2.32,3.908,
extra,20,20,32,,,,,,,,,,,,,,,,,,,,,0.21,0.30,0.323,0.21,0.30,0.323,,,,,,0.03,2.35,2.38,3.996,
extra,20,20,33,,,,,,,,,,,,,,,,,,,,,0.22,0.30,0.331,0.22,0.31,0.329,,,,,,0.04,2.38,2.42,4.081,
extra,20,20,34,,,,,,,,,,,,,,,,,,,,,0.23,0.31,0.335,0.23,0.31,0.337,,,,,,0.03,2.44,2.47,4.160,
extra,20,20,35,,,,,,,,,,,,,,,,,,,,,0.24,0.32,0.345,0.24,0.32,0.348,,,,,,0.04,2.5,2.54,4.249,
extra,20,20,36,,,,,,,,,,,,,,,,,,,,,0.24,0.33,0.358,0.24,0.34,0.353,,,,,,0.04,2.54,2.58,4.340,
extra,20,20,37,,,,,,,,,,,,,,,,,,,,,0.26,0.34,0.366,0.25,0.33,0.359,,,,,,0.04,2.6,2.64,4.468,
extra,20,20,38,,,,,,,,,,,,,,,,,,,,,0.26,0.34,0.370,0.26,0.34,0.370,,,,,,0.03,2.72,2.75,4.610,
extra,20,20,39,,,,,,,,,,,,,,,,,,,,,0.27,0.35,0.378,0.26,0.35,0.377,,,,,,0.03,2.67,2.7,4.577,
extra,20,20,40,,,,,,,,,,,,,,,,,,,,,0.27,0.36,0.389,0.28,0.36,0.385,,,,,,0.04,2.72,2.76,4.643,
extra,20,20,41,,,,,,,,,,,,,,,,,,,,,0.29,0.38,0.397,0.28,0.37,0.393,,,,,,0.03,2.82,2.85,4.758,
extra,20,20,42,,,,,,,,,,,,,,,,,,,,,0.29,0.38,0.408,0.29,0.37,0.401,,,,,,0.03,2.84,2.87,4.824,
extra,20,20,43,,,,,,,,,,,,,,,,,,,,,0.29,0.40,0.417,0.30,0.39,0.411,,,,,,0.04,2.88,2.92,4.903,
extra,20,20,44,,,,,,,,,,,,,,,,,,,,,0.31,0.40,0.427,0.30,0.39,0.419,,,,,,0.04,2.99,3.03,5.014,
extra,20,20,45,,,,,,,,,,,,,,,,,,,,,0.32,0.42,0.437,0.31,0.41,0.429,,,,,,0.04,2.98,3.02,5.054,
