problem,x,y,x-extra,ff-inst,ff-search,ff-preprocess,ff-total,ff-system,metricFF-inst,metricFF-search,metricFF-preprocess,metricFF-total,metricFF-system,ffha-inst,ffha-search,ffha-preprocess,ffha-total,ffha-system,ffsa-inst,ffsa-search,ffsa-preprocess,ffsa-total,ffsa-system,sgplan522-parsing,sgplan522-total,sgplan522-system,sgplan6-parsing,sgplan6-total,sgplan6-system,ipp-inst,ipp-search,ipp-preprocess,ipp-total,ipp-system,lama-search,lama-preprocess,lama-total,lama-system,c3-system
minimal,0,20,,0.00,0.00,0,0.00,0.007,0.00,0.00,0,0.00,0.029,0.00,0.00,0,0.00,0.009,0.00,0.00,0,0.00,0.010,0.00,0.00,0.013,0.02,0.02,0.045,0.00,0.00,0,0.00,0.032,0,0,0,0.103,0.060
minimal,1,20,,0.00,0.00,0,0.00,0.007,0.00,0.00,0,0.00,0.029,0.00,0.00,0,0.00,0.009,0.00,0.00,0,0.00,0.010,0.00,0.00,0.013,0.02,0.02,0.045,0.00,0.00,0,0.00,0.032,0,0,0,0.103,0.060
minimal,2,20,,0.00,0.00,0,0.00,0.008,0.00,0.00,0,0.00,0.062,0.00,0.00,0,0.00,0.015,0.00,0.00,0,0.00,0.014,0.00,0.00,0.014,0.02,0.02,0.047,0.00,0.00,0,0.00,0.046,0,0,0,0.133,0.117
minimal,3,20,,0.00,0.00,0,0.00,0.010,0.00,0.00,0,0.00,0.015,0.00,0.00,0.01,0.01,0.053,0.00,0.00,0.01,0.01,0.023,0.00,0.00,0.017,0.03,0.03,0.051,0.00,0.00,0.02,0.02,0.049,0.01,0,0.01,0.164,0.142
minimal,4,20,,0.00,0.00,0,0.00,0.016,0.00,0.01,0.01,0.02,0.032,0.00,0.02,0.01,0.03,0.067,0.00,0.01,0.01,0.02,0.045,0.00,0.01,0.029,0.03,0.04,0.061,0.00,0.00,0.05,0.05,0.082,0,0.01,0.01,0.196,0.472
minimal,5,20,,0.00,0.01,0,0.01,0.023,0.00,0.02,0.01,0.03,0.052,0.00,0.03,0.02,0.05,0.067,0.00,0.03,0.02,0.05,0.067,0.00,0.02,0.037,0.03,0.05,0.068,0.03,0.00,0.11,0.11,0.137,0,0.02,0.02,0.233,0.238
minimal,6,20,,0.00,0.03,0,0.03,0.044,0.00,0.05,0.04,0.09,0.110,0.00,0.07,0.04,0.11,0.127,0.01,0.06,0.04,0.10,0.124,0.00,0.00,0.024,0.03,0.03,0.058,0.04,0.00,0.17,0.17,0.208,0,0.03,0.03,0.288,0.428
minimal,7,20,,0.01,0.03,0.01,0.04,0.058,0.01,0.08,0.06,0.14,0.154,0.01,0.09,0.06,0.15,0.172,0.01,0.09,0.06,0.15,0.171,0.00,0.00,0.026,0.03,0.03,0.059,0.08,0.01,0.27,0.28,0.325,0.01,0.04,0.05,0.315,0.394
minimal,8,20,,0.01,0.08,0.01,0.09,0.109,0.02,0.19,0.09,0.28,0.298,0.02,0.18,0.1,0.28,0.293,0.02,0.17,0.1,0.27,0.295,0.00,0.00,0.028,0.03,0.05,0.061,0.11,0.02,0.4,0.42,0.469,0.01,0.05,0.06,0.373,0.523
minimal,9,20,,0.02,0.09,0.02,0.11,0.128,0.02,0.23,0.13,0.36,0.378,0.02,0.21,0.14,0.35,0.381,0.02,0.22,0.14,0.36,0.387,0.01,0.01,0.031,0.04,0.05,0.064,0.15,0.11,0.56,0.67,0.707,0.01,0.07,0.08,0.404,0.623
minimal,10,20,,0.03,0.17,0.04,0.21,0.227,0.03,0.46,0.18,0.64,0.808,0.04,0.39,0.18,0.57,0.737,0.03,0.39,0.19,0.58,0.698,0.01,0.02,0.609,0.04,0.05,0.166,0.21,0.11,0.77,0.88,0.998,0.01,0.1,0.11,0.484,1.079
minimal,11,20,,0.05,0.21,0.05,0.26,0.281,0.04,0.59,0.24,0.83,0.874,0.05,0.48,0.24,0.72,0.750,0.05,0.48,0.24,0.72,0.752,0.01,0.07,0.093,0.04,0.11,0.121,0.28,0.43,1.02,1.45,1.497,0.02,0.13,0.15,0.522,1.403
minimal,12,20,,0.06,0.42,0.07,0.49,0.506,0.06,1.19,0.31,1.50,1.557,0.06,0.61,0.3,0.91,0.948,0.06,0.61,0.31,0.92,0.947,0.01,0.07,0.092,0.04,0.11,0.122,0.36,0.48,1.31,1.79,1.834,0.01,0.16,0.17,0.578,1.206
minimal,13,20,,0.07,0.45,0.08,0.53,0.550,0.08,1.30,0.38,1.68,1.784,0.07,0.71,0.39,1.10,1.147,0.08,0.73,0.38,1.11,1.149,0.01,0.06,0.100,0.04,0.09,0.112,0.45,1.71,1.64,3.35,3.468,0.01,0.21,0.22,0.657,1.511
minimal,14,20,,0.10,0.99,0.1,1.09,1.119,0.09,2.91,0.48,3.39,3.465,0.10,0.89,0.48,1.37,1.421,0.10,0.87,0.49,1.36,1.414,0.01,0.11,0.135,0.04,0.14,0.161,0.55,2.00,2.07,4.07,4.111,0.01,0.25,0.26,0.723,1.828
minimal,15,20,,0.12,1.37,0.12,1.49,1.512,0.11,3.98,0.59,4.57,4.689,0.12,1.02,0.59,1.61,1.663,0.12,1.01,0.59,1.60,1.663,0.02,0.15,0.171,0.05,0.17,0.193,0.68,5.97,2.56,8.53,8.572,0.02,0.3,0.32,0.817,2.232
minimal,16,20,,0.14,1.66,0.15,1.81,1.825,0.14,5.00,0.71,5.71,5.829,0.14,1.16,0.71,1.87,1.939,0.15,1.17,0.71,1.88,1.941,0.02,0.06,0.086,0.05,0.09,0.114,0.82,7.41,3.14,10.55,10.593,0.02,0.35,0.37,0.893,2.567
minimal,17,20,,0.17,2.84,0.18,3.02,3.046,0.17,8.47,0.84,9.31,9.406,0.17,1.29,0.85,2.14,2.216,0.17,1.30,0.86,2.16,2.233,0.02,0.15,0.172,0.06,0.17,0.191,0.98,19.52,3.79,23.31,23.375,0.03,0.43,0.46,1.012,3.486
minimal,18,20,,0.20,2.71,0.21,2.92,2.948,0.20,8.35,1,9.35,9.485,0.20,1.41,1,2.41,2.497,0.20,1.41,1,2.41,2.494,0.03,0.22,0.242,0.05,0.23,0.257,1.15,24.45,4.49,28.94,29.028,0.02,0.49,0.51,1.099,3.837
minimal,19,20,,0.24,4.89,0.25,5.14,5.174,0.24,15.20,1.17,16.37,16.537,0.24,1.54,1.17,2.71,2.815,0.24,1.54,1.18,2.72,2.812,0.03,0.08,0.108,0.06,0.12,0.135,1.35,59.33,5.32000000000001,64.65,64.705,0.02,0.58,0.6,1.228,4.056
